term 489, 10000 pasos de N*N
temp	Mag	En
0.100000	1.000000	-2.000000
0.110000	1.000000	-2.000000
0.120000	1.000000	-2.000000
0.130000	1.000000	-2.000000
0.140000	1.000000	-2.000000
0.150000	1.000000	-2.000000
0.160000	1.000000	-2.000000
0.170000	1.000000	-2.000000
0.180000	1.000000	-2.000000
0.190000	1.000000	-2.000000
0.200000	1.000000	-2.000000
0.210000	1.000000	-2.000000
0.220000	1.000000	-2.000000
0.230000	1.000000	-2.000000
0.240000	1.000000	-2.000000
0.250000	1.000000	-2.000000
0.260000	1.000000	-2.000000
0.270000	1.000000	-2.000000
0.280000	1.000000	-2.000000
0.290000	1.000000	-2.000000
0.300000	1.000000	-2.000000
0.310000	1.000000	-2.000000
0.320000	1.000000	-2.000000
0.330000	1.000000	-2.000000
0.340000	1.000000	-2.000000
0.350000	1.000000	-2.000000
0.360000	1.000000	-2.000000
0.370000	1.000000	-2.000000
0.380000	1.000000	-2.000000
0.390000	1.000000	-2.000000
0.400000	1.000000	-2.000000
0.410000	1.000000	-2.000000
0.420000	1.000000	-2.000000
0.430000	1.000000	-2.000000
0.440000	1.000000	-2.000000
0.450000	1.000000	-2.000000
0.460000	1.000000	-2.000000
0.470000	1.000000	-2.000000
0.480000	0.999999	-1.999996
0.490000	1.000000	-1.999999
0.500000	1.000000	-2.000000
0.510000	1.000000	-2.000000
0.520000	1.000000	-1.999999
0.530000	1.000000	-2.000000
0.540000	0.999999	-1.999997
0.550000	1.000000	-1.999998
0.560000	1.000000	-1.999998
0.570000	0.999999	-1.999995
0.580000	0.999998	-1.999993
0.590000	0.999996	-1.999984
0.600000	0.999997	-1.999989
0.610000	0.999993	-1.999972
0.620000	0.999995	-1.999979
0.630000	0.999994	-1.999978
0.640000	0.999990	-1.999958
0.650000	0.999994	-1.999975
0.660000	0.999995	-1.999980
0.670000	0.999983	-1.999932
0.680000	0.999987	-1.999949
0.690000	0.999979	-1.999918
0.700000	0.999980	-1.999921
0.710000	0.999976	-1.999904
0.720000	0.999970	-1.999880
0.730000	0.999967	-1.999868
0.740000	0.999957	-1.999830
0.750000	0.999958	-1.999832
0.760000	0.999939	-1.999757
0.770000	0.999935	-1.999740
0.780000	0.999934	-1.999736
0.790000	0.999921	-1.999686
0.800000	0.999899	-1.999599
0.810000	0.999895	-1.999581
0.820000	0.999883	-1.999539
0.830000	0.999873	-1.999496
0.839999	0.999843	-1.999377
0.849999	0.999824	-1.999299
0.859999	0.999808	-1.999241
0.869999	0.999800	-1.999208
0.879999	0.999784	-1.999143
0.889999	0.999743	-1.998984
0.899999	0.999714	-1.998874
0.909999	0.999696	-1.998796
0.919999	0.999664	-1.998673
0.929999	0.999598	-1.998412
0.939999	0.999567	-1.998292
0.949999	0.999556	-1.998247
0.959999	0.999471	-1.997914
0.969999	0.999426	-1.997755
0.979999	0.999391	-1.997600
0.989999	0.999340	-1.997399
0.999999	0.999270	-1.997144
1.009999	0.999221	-1.996937
1.019999	0.999169	-1.996750
1.029999	0.999094	-1.996446
1.039999	0.998997	-1.996073
