term 8, 30000 pasos de N*N
temp	mag	en
4.500000	0.219107	-0.219107
4.490000	0.218974	-0.218974
4.480000	0.219260	-0.219260
4.469999	0.220166	-0.220166
4.459999	0.220286	-0.220286
4.449999	0.220819	-0.220819
4.439999	0.221592	-0.221592
4.429998	0.221917	-0.221917
4.419998	0.222372	-0.222372
4.409998	0.223479	-0.223479
4.399998	0.223518	-0.223518
4.389997	0.224265	-0.224265
4.379997	0.224450	-0.224450
4.369997	0.225384	-0.225384
4.359997	0.225148	-0.225148
4.349997	0.226111	-0.226111
4.339996	0.226152	-0.226152
4.329996	0.227185	-0.227185
4.319996	0.227116	-0.227116
4.309996	0.227615	-0.227615
4.299995	0.228317	-0.228317
4.289995	0.228595	-0.228595
4.279995	0.229986	-0.229986
4.269995	0.230216	-0.230216
4.259995	0.230470	-0.230470
4.249994	0.231221	-0.231221
4.239994	0.231336	-0.231336
4.229994	0.232188	-0.232188
4.219994	0.232792	-0.232792
4.209993	0.233289	-0.233289
4.199993	0.233990	-0.233990
4.189993	0.234252	-0.234252
4.179993	0.234793	-0.234793
4.169992	0.235405	-0.235405
4.159992	0.235685	-0.235685
4.149992	0.236599	-0.236599
4.139992	0.237061	-0.237061
4.129992	0.237372	-0.237372
4.119991	0.238005	-0.238005
4.109991	0.238374	-0.238374
4.099991	0.239096	-0.239096
4.089991	0.239926	-0.239926
4.079990	0.240519	-0.240519
4.069990	0.241057	-0.241057
4.059990	0.241530	-0.241530
4.049990	0.241986	-0.241986
4.039989	0.242555	-0.242555
4.029989	0.243161	-0.243161
4.019989	0.243550	-0.243550
4.009989	0.244167	-0.244167
3.999989	0.245065	-0.245065
3.989989	0.245357	-0.245357
3.979989	0.246291	-0.246291
3.969989	0.246642	-0.246642
3.959989	0.247186	-0.247186
3.949989	0.247625	-0.247625
3.939989	0.248911	-0.248911
3.929989	0.249057	-0.249057
3.919989	0.249742	-0.249742
3.909989	0.250261	-0.250261
3.899989	0.250876	-0.250876
3.889989	0.251602	-0.251602
3.879989	0.252155	-0.252155
3.869989	0.252598	-0.252598
3.859989	0.252866	-0.252866
3.849989	0.253865	-0.253865
3.839989	0.254718	-0.254718
3.829989	0.255466	-0.255466
3.819989	0.256002	-0.256002
3.809989	0.256795	-0.256795
3.799989	0.257388	-0.257388
3.789989	0.257859	-0.257859
3.779989	0.258532	-0.258532
3.769989	0.259186	-0.259186
3.759989	0.260040	-0.260040
3.749989	0.260254	-0.260254
3.739989	0.260990	-0.260990
3.729989	0.261656	-0.261656
3.719989	0.262955	-0.262955
3.709989	0.263489	-0.263489
3.699989	0.263989	-0.263989
3.689989	0.264876	-0.264876
3.679989	0.265249	-0.265249
3.669989	0.265392	-0.265392
3.659989	0.266302	-0.266302
3.649989	0.267119	-0.267119
3.639989	0.268058	-0.268058
3.629989	0.268678	-0.268678
3.619989	0.269154	-0.269154
