term 586, 20000 pasos de N*N
temp	mag	var_m	en	var_e
4.000000	0.051245	1568.149536	-0.556838	2770.366455
3.990000	0.051928	1615.298584	-0.559538	2782.339844
3.980000	0.052064	1624.180542	-0.560230	2791.361816
3.970000	0.051796	1603.043579	-0.561827	2775.235596
3.960000	0.051811	1611.711182	-0.563690	2820.398682
3.950000	0.052512	1652.001343	-0.566314	2811.361816
3.940000	0.052368	1649.667725	-0.567664	2770.140869
3.930000	0.053008	1651.805786	-0.570059	2831.972412
3.920000	0.052997	1670.276855	-0.572146	2895.448730
3.910000	0.052779	1692.580933	-0.573285	2858.148682
3.900000	0.053083	1688.796265	-0.575120	2861.949951
3.890000	0.053361	1705.778931	-0.576809	2927.991455
3.880000	0.053624	1701.912476	-0.578712	2868.506104
3.870000	0.053165	1719.653320	-0.580392	2873.186279
3.860000	0.053711	1734.704590	-0.583038	2863.925781
3.850000	0.054277	1765.174316	-0.584150	2876.433350
3.840000	0.054303	1759.666870	-0.586479	2845.765625
3.830000	0.054485	1774.079834	-0.588696	2879.221436
3.820000	0.054581	1742.393921	-0.590077	2898.978027
3.810000	0.054608	1769.870483	-0.591163	2918.522949
3.800000	0.055308	1808.190918	-0.593891	2903.756592
3.790000	0.055498	1836.177002	-0.596215	2929.144287
3.780000	0.055180	1820.737671	-0.597068	2988.004395
3.770000	0.055842	1845.393066	-0.599664	2919.129150
3.760000	0.055531	1827.644531	-0.602453	2941.499023
3.750000	0.056162	1881.782715	-0.603871	2964.399902
3.740000	0.056056	1864.851807	-0.605624	2973.600098
3.730000	0.056489	1929.043945	-0.607921	2938.027832
3.720000	0.056474	1892.953003	-0.610418	2994.032227
3.710000	0.056849	1889.018188	-0.612350	2917.411865
3.700000	0.057021	1919.708008	-0.613763	2993.305664
3.690000	0.056873	1912.770264	-0.616270	2959.653076
3.680000	0.057429	1955.466797	-0.617873	2970.213623
3.670000	0.057622	1958.352783	-0.621610	2961.544678
3.660000	0.057652	1985.473511	-0.622826	3028.873047
3.650000	0.058171	2046.106812	-0.625458	3047.357666
3.640000	0.058443	2029.337646	-0.627729	3047.098877
3.630000	0.058557	2022.437012	-0.629700	2996.491455
3.620000	0.059237	2082.675293	-0.631617	3006.666504
3.610000	0.059292	2086.946533	-0.634619	2994.235107
3.600000	0.059130	2077.025879	-0.635665	3036.361572
3.590000	0.059572	2136.324707	-0.638624	3076.625000
3.580000	0.058941	2085.403320	-0.641251	3024.453857
3.570000	0.060175	2127.454834	-0.642904	3031.628418
3.560000	0.060366	2199.851318	-0.645460	3035.821777
3.550000	0.060631	2219.075195	-0.647909	3119.380615
3.540000	0.060809	2149.052246	-0.649933	3074.455322
3.530000	0.060553	2202.604736	-0.651986	3110.410400
3.520000	0.060880	2205.984619	-0.655129	3147.362061
3.510000	0.061161	2206.541016	-0.657343	3109.915283
3.500000	0.061590	2262.497070	-0.660013	3118.685547
3.490000	0.061989	2281.009033	-0.663071	3111.011963
3.480000	0.062067	2294.605957	-0.664843	3144.551514
3.470001	0.063222	2380.332031	-0.667346	3114.408691
3.460001	0.062754	2335.139404	-0.669706	3105.080811
3.450001	0.062957	2345.620850	-0.673101	3189.348389
3.440001	0.063823	2399.989014	-0.675477	3156.851318
3.430001	0.063901	2450.959961	-0.677343	3195.800537
3.420001	0.064703	2501.807861	-0.680662	3162.526367
3.410001	0.064660	2486.834961	-0.683726	3186.930420
3.400001	0.064854	2509.440430	-0.685920	3204.498535
3.390001	0.065161	2532.667236	-0.689613	3224.398682
3.380001	0.065851	2524.700684	-0.691218	3202.772217
3.370001	0.066126	2556.157471	-0.693901	3237.956299
3.360001	0.066107	2599.174805	-0.697303	3230.664551
3.350001	0.066467	2641.185303	-0.700023	3246.602051
3.340001	0.066847	2649.444824	-0.702277	3233.405273
3.330001	0.067543	2717.894287	-0.704999	3231.856934
3.320001	0.067384	2702.661865	-0.708825	3255.268555
3.310001	0.067999	2741.550537	-0.711215	3256.841064
3.300001	0.068742	2806.409424	-0.714179	3325.502197
3.290001	0.068647	2771.812012	-0.717436	3300.680908
3.280001	0.069288	2793.798828	-0.720410	3356.859375
3.270001	0.069299	2825.606201	-0.723648	3337.580322
3.260001	0.069562	2893.534912	-0.726198	3314.226807
3.250001	0.070228	3013.236084	-0.728971	3359.693359
3.240001	0.071485	3000.778076	-0.732754	3389.019775
3.230001	0.071549	3028.958984	-0.735845	3387.655762
3.220001	0.072554	3123.437988	-0.739499	3345.814697
3.210001	0.072366	3112.007324	-0.741907	3335.229004
3.200001	0.072682	3122.804688	-0.745458	3399.713623
3.190001	0.073194	3161.692871	-0.748033	3447.785156
3.180001	0.073494	3224.490479	-0.751263	3381.638428
3.170001	0.074922	3277.074707	-0.754919	3481.503662
3.160001	0.075088	3340.513672	-0.758720	3507.058350
3.150001	0.075786	3398.114258	-0.761766	3482.471436
3.140001	0.076227	3426.874023	-0.764938	3438.251953
3.130001	0.075685	3456.140625	-0.768098	3515.128174
3.120001	0.077550	3513.826172	-0.772543	3499.555908
3.110001	0.078065	3564.549561	-0.775396	3571.470703
3.100001	0.078969	3661.299072	-0.779818	3562.660889
3.090001	0.078731	3648.414062	-0.783114	3614.754883
3.080001	0.079091	3741.444580	-0.785997	3552.894287
3.070001	0.080687	3810.401855	-0.790905	3694.184570
3.060001	0.080331	3793.208252	-0.793707	3629.770020
3.050001	0.081631	3917.235840	-0.796750	3646.891846
3.040001	0.082108	3932.002441	-0.801264	3681.440430
